,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,new norfolk,75,AU,1566852559,61,-42.78,147.06,51.01,10.29
1,albany,20,US,1566852468,36,42.65,-73.75,79.0,4.09
2,kontagora,69,NG,1566852685,90,10.4,5.47,73.63,3.31
3,port elizabeth,90,US,1566852686,68,39.31,-74.98,75.0,5.82
4,vaini,67,IN,1566852470,91,15.34,74.49,74.53,3.24
5,soe,0,EE,1566852686,88,57.91,26.05,63.0,9.17
6,iqaluit,90,CA,1566852686,93,63.75,-68.52,51.8,5.82
7,karratha,94,AU,1566852687,62,-20.74,116.85,58.87,6.87
8,port alfred,100,ZA,1566852687,75,-33.59,26.89,62.01,4.0
9,rikitea,72,PF,1566852687,57,-23.12,-134.97,68.95,7.34
10,punta arenas,40,CL,1566852614,66,-53.16,-70.91,41.0,34.45
11,faanui,44,PF,1566852687,76,-16.48,-151.75,78.31,12.26
12,longyearbyen,20,NO,1566852688,69,78.22,15.63,39.2,5.82
13,chokurdakh,100,RU,1566852505,89,70.62,147.9,39.97,11.23
14,kapaa,90,US,1566852688,66,22.08,-159.32,89.6,19.46
15,hobart,75,AU,1566852618,61,-42.88,147.33,51.01,10.29
16,tuktoyaktuk,75,CA,1566852688,87,69.44,-133.03,48.2,10.29
17,busselton,67,AU,1566852688,65,-33.64,115.35,42.01,12.48
18,broome,0,GB,1566852536,72,52.47,1.45,75.2,6.93
19,nizhniy tsasuchey,44,RU,1566852689,90,50.52,115.13,48.25,4.99
20,werda,0,BW,1566852689,18,-25.27,23.28,60.85,3.31
21,hermanus,100,ZA,1566852689,88,-34.42,19.24,51.01,17.94
22,oyama,75,JP,1566852689,94,36.31,139.8,79.0,4.7
23,cape town,20,ZA,1566852424,87,-33.93,18.42,53.01,3.36
24,hithadhoo,100,MV,1566852531,71,-0.6,73.08,82.45,5.61
25,dniprovka,0,UA,1566852690,46,48.07,35.19,71.6,6.71
26,asyut,0,EG,1566852690,40,27.18,31.19,87.8,3.36
27,jamestown,0,AU,1566852690,85,-33.21,138.6,37.09,1.79
28,qaanaaq,100,GL,1566852691,93,77.48,-69.36,35.47,7.2
29,fortuna foothills,1,US,1566852691,33,32.66,-114.41,106.0,6.93
30,mataura,96,NZ,1566852691,84,-46.19,168.86,39.99,4.0
31,pacific grove,1,US,1566852584,68,36.62,-121.92,96.01,5.82
32,bathsheba,40,BB,1566852527,83,13.22,-59.52,80.6,20.8
33,turukhansk,97,RU,1566852692,96,65.8,87.96,46.81,7.0
34,nyurba,65,RU,1566852692,75,63.29,118.35,55.27,2.15
35,margate,75,AU,1566852692,61,-43.03,147.26,51.01,10.29
36,severo-kurilsk,100,RU,1566852582,95,50.68,156.12,48.25,7.34
37,oudtshoorn,68,ZA,1566852693,66,-33.59,22.2,53.6,6.93
38,cedar city,1,US,1566852693,16,37.68,-113.06,87.8,4.7
39,souillac,0,FR,1566852693,54,45.6,-0.6,80.6,3.36
40,east london,100,ZA,1566852693,71,-33.02,27.91,57.43,7.49
41,upernavik,89,GL,1566852694,72,72.79,-56.15,39.79,7.4
42,airai,0,TL,1566852694,77,-8.93,125.41,63.91,4.74
43,metro,100,ID,1566852694,88,-5.11,105.31,72.55,7.67
44,ushuaia,40,AR,1566852695,75,-54.81,-68.31,42.8,6.93
45,suez,0,EG,1566852695,71,29.97,32.54,77.23,11.07
46,erenhot,0,CN,1566852695,46,43.65,111.97,60.85,12.19
47,nicoya,20,CR,1566852695,55,10.15,-85.45,89.6,10.29
48,khatanga,100,RU,1566852519,86,71.98,102.47,53.83,6.13
49,micheweni,0,TZ,1566852696,80,-4.97,39.83,77.23,10.87
50,vostok,0,RU,1566852696,87,46.45,135.83,53.29,4.0
51,codrington,90,AU,1566852494,93,-28.95,153.24,57.0,2.91
52,saskylakh,100,RU,1566852696,76,71.97,114.09,54.37,2.51
53,bethanien,0,NA,1566852696,57,-26.5,17.16,46.81,1.81
54,georgetown,40,GY,1566852697,66,6.8,-58.16,89.6,9.17
55,athabasca,82,CA,1566852697,73,54.72,-113.29,56.35,14.85
56,richards bay,29,ZA,1566852581,84,-28.77,32.06,69.13,14.52
57,kirkkonummi,0,FI,1566852697,82,60.12,24.44,64.4,6.93
58,lebu,75,ET,1566852564,93,8.96,38.73,59.0,4.7
59,barrow,87,AR,1566852698,65,-38.31,-60.23,66.25,6.35
60,atuona,4,PF,1566852698,73,-9.8,-139.03,78.67,16.75
61,itarema,0,BR,1566852525,67,-2.92,-39.92,78.13,13.96
62,spornoye,0,RU,1566852698,51,50.84,37.29,62.6,4.47
63,nome,40,US,1566852605,59,30.04,-94.42,97.0,10.29
64,san patricio,100,PY,1566852698,80,-26.98,-56.83,70.57,4.29
65,adre,33,TD,1566852702,72,13.47,22.2,73.27,4.25
66,faya,40,SA,1566852702,38,18.39,42.45,73.4,1.36
67,cabo san lucas,75,MX,1566852473,62,22.89,-109.91,98.01,20.8
68,longido,0,TZ,1566852702,76,-2.73,36.7,61.21,9.66
69,charters towers,8,AU,1566852703,94,-20.07,146.27,57.79,1.68
70,oum hadjer,81,TD,1566852703,72,13.3,19.7,80.47,2.01
71,otavalo,40,EC,1566852703,23,0.23,-78.26,77.0,12.75
72,ulladulla,75,AU,1566852703,87,-35.36,150.48,50.0,8.05
73,hami,0,CN,1566852704,25,42.84,93.51,72.01,3.56
74,yellowknife,75,CA,1566852704,55,62.45,-114.38,60.8,12.75
75,victoria,75,BN,1566852704,88,5.28,115.24,77.0,4.7
76,lorengau,85,PG,1566852535,86,-2.02,147.27,79.21,8.48
77,north bend,1,US,1566852704,56,43.41,-124.22,82.99,23.04
78,dwarka,40,IN,1566852705,79,28.58,77.04,91.99,3.36
79,kavieng,24,PG,1566852705,75,-2.57,150.8,81.73,3.13
80,nikolskoye,40,RU,1566852705,88,59.7,30.79,64.0,8.95
81,viedma,100,AR,1566852705,72,-40.81,-62.99,56.17,12.95
82,esmeraldas,40,BR,1566852706,46,-19.76,-44.31,75.2,9.17
83,laguna,20,BZ,1566852706,70,16.17,-88.94,91.4,13.87
84,altay,0,CN,1566852706,37,47.83,88.13,49.87,5.68
85,mudbidri,75,IN,1566852707,94,13.08,74.98,75.2,4.7
86,cherskiy,96,RU,1566852707,80,68.75,161.3,51.49,4.83
87,butaritari,31,KI,1566852533,70,3.07,172.79,84.97,8.99
88,nago,0,IT,1566852707,78,45.88,10.89,78.01,4.7
89,indianola,1,US,1566852707,47,40.24,-100.42,80.6,18.34
90,ust-nera,99,RU,1566852708,85,64.57,143.24,45.73,6.53
91,hambantota,100,LK,1566852572,82,6.12,81.12,80.29,16.13
92,seoul,75,KR,1566852643,106,37.57,126.98,75.2,1.12
93,hilo,90,US,1566852482,74,19.71,-155.08,82.99,10.29
94,ancud,0,CL,1566852708,57,-41.87,-73.83,50.0,12.75
95,yeppoon,0,AU,1566852709,87,-23.13,150.74,53.6,3.36
96,kavaratti,100,IN,1566852709,78,10.57,72.64,81.55,20.15
97,kulhudhuffushi,100,MV,1566852595,75,6.62,73.07,81.73,10.0
98,fortuna,20,US,1566852509,60,40.6,-124.16,99.0,14.99
99,srednekolymsk,100,RU,1566852709,70,67.46,153.71,55.09,5.37
100,kendari,3,ID,1566852710,96,-3.99,122.52,64.63,2.13
101,tawang,1,BT,1566852710,88,27.59,91.87,55.27,4.68
